question,consistent body,inconsistent body,consistent paraphrased,inconsistent paraphrased,answer
How many liters of milk does Harper have now?,Olivia owns 10 backpacks. Olivia bought 6 more backpacks. Olivia possesses 3 liters of milk per backpack. Harper has 5 times as much milk in liters as Olivia does. Harper bought 11 liters more milk.,Olivia owns 10 backpacks. Olivia bought 6 more backpacks. Olivia possesses 3 liters of milk per backpack. Olivia has 1/5 as much milk in liters as Harper does. Harper bought 11 liters more milk.,Olivia owns 10 backpacks. Olivia bought 6 additional backpacks. Olivia possesses 3 liters of milk per backpack. Harper has 5 times as much milk in liters as Olivia does. Harper bought 11 more liters of milk. How many liters of milk does Harper have now?,Olivia owns 10 backpacks. Olivia bought 6 additional backpacks. Olivia possesses 3 liters of milk per backpack. Olivia has 1/5 as much milk in liters as Harper does. Harper bought 11 more liters of milk. How many liters of milk does Harper have now?,251
What is the number of orange towels that Grace has now?,Andrew has 20 orange towels. Grace has 3 fewer orange towels than Andrew. Grace bought 2 orange towels.,Andrew has 20 orange towels. Andrew has 3 more orange towels than Grace. Grace bought 2 orange towels.,Andrew has 20 orange towels. Grace has 3 fewer orange towels than Andrew. Grace bought 2 orange towels. What is the number of orange towels that Grace has now?,Andrew has 20 orange towels. Andrew has 3 more orange towels than Grace. Grace bought 2 orange towels. What is the number of orange towels that Grace has now?,19
What is the number of green mouses that Joshua has?,Victoria has 4 green mouses. Joshua has 3 fewer green mouses than Victoria.,Victoria has 4 green mouses. Victoria has 3 more green mouses than Joshua.,Victoria has 4 green mice. Joshua has 3 fewer green mice than Victoria. What is the number of green mice that Joshua has?,Victoria has 4 green mice. Victoria has 3 more green mice than Joshua. What is the number of green mice that Joshua has?,1
What is the number of yellow bags that Natalie has now?,Amelia has 17 yellow bags. Amelia possesses 8 orange watch for every yellow bag. Natalie has 18 more yellow bags than Amelia. Natalie bought 5 yellow bags. Natalie bought 3 yellow bags.,Amelia has 17 yellow bags. Amelia possesses 8 orange watch for every yellow bag. Amelia has 18 fewer yellow bags than Natalie. Natalie bought 5 yellow bags. Natalie bought 3 yellow bags.,Amelia has 17 yellow bags. Amelia possesses 8 orange watches for every yellow bag. Natalie has 18 more yellow bags than Amelia. Natalie bought 5 yellow bags. Natalie bought 3 more yellow bags. What is the number of yellow bags that Natalie has now?,Amelia has 17 yellow bags. Amelia possesses 8 orange watches for every yellow bag. Amelia has 18 fewer yellow bags than Natalie. Natalie bought 5 yellow bags. Natalie bought 3 more yellow bags. What is the number of yellow bags that Natalie has now?,43
How many couchs does Ava have in their collection now?,Nicholas owns 17 baskets. Each of Nicholas's basket holds 13 umbrellas. Nicholas bought 9 more umbrellas. Ava has 2 fewer baskets than Nicholas. Each of Ava's basket holds 5 couchs. Ava bought 13 couchs.,Nicholas owns 17 baskets. Each of Nicholas's basket holds 13 umbrellas. Nicholas bought 9 more umbrellas. Nicholas has 2 more baskets than Ava. Each of Ava's basket holds 5 couchs. Ava bought 13 couchs.,Nicholas owns 17 baskets. Each of Nicholas's baskets holds 13 umbrellas. Nicholas bought 9 more umbrellas. Ava has 2 fewer baskets than Nicholas. Each of Ava's baskets holds 5 couches. Ava bought 13 couches. How many couches does Ava have in their collection now?,Nicholas owns 17 baskets. Each of Nicholas's baskets holds 13 umbrellas. Nicholas bought 9 more umbrellas. Nicholas has 2 more baskets than Ava. Each of Ava's baskets holds 5 couches. Ava bought 13 couches. How many couches does Ava have in their collection now?,88
How many kilowatt-hours of emergency energy reserve does Christopher have now?,Joseph owns 2 boxs. Joseph possesses 20 kilowatt-hours of emergency energy reserve per box. Christopher has 1/5 as much emergency energy reserve in kilowatt-hours as Joseph does. Christopher bought 5 kilowatt-hours more emergency energy reserve.,Joseph owns 2 boxs. Joseph possesses 20 kilowatt-hours of emergency energy reserve per box. Joseph has 5 times as much emergency energy reserve in kilowatt-hours as Christopher does. Christopher bought 5 kilowatt-hours more emergency energy reserve.,Joseph owns 2 boxes. Joseph possesses 20 kilowatt-hours of emergency energy reserve per box. Christopher has 1/5 as much emergency energy reserve in kilowatt-hours as Joseph does. Christopher bought 5 kilowatt-hours more emergency energy reserve. How many kilowatt-hours of emergency energy reserve does Christopher have now?,Joseph owns 2 boxes. Joseph possesses 20 kilowatt-hours of emergency energy reserve per box. Joseph has 5 times as much emergency energy reserve in kilowatt-hours as Christopher does. Christopher bought 5 kilowatt-hours more emergency energy reserve. How many kilowatt-hours of emergency energy reserve does Christopher have now?,13
How many dollars of bitcoin does Lily have now?,John has 2 dollars of bitcoin. Lily has 15 dollars of bitcoin more than John. Lily bought 4 dollars more bitcoin.,John has 2 dollars of bitcoin. John has 15 dollars of bitcoin less than Lily. Lily bought 4 dollars more bitcoin.,John has 2 dollars of bitcoin. Lily has 15 dollars more bitcoin than John. Lily bought 4 dollars more bitcoin. How many dollars of bitcoin does Lily have now?,John has 2 dollars of bitcoin. John has 15 dollars less of bitcoin than Lily. Lily bought 4 dollars more bitcoin. How many dollars of bitcoin does Lily have now?,21
How many headphones does Ryan have in their collection?,There are 4 packages in Layla's collection. Each of Layla's package holds 12 boxs. Ryan has 1/3 the amount of boxs as Layla. Ryan bought 6 more boxs. There are 20 headphones in every Ryan's box.,There are 4 packages in Layla's collection. Each of Layla's package holds 12 boxs. Layla has 3 times as many boxs as Ryan. Ryan bought 6 more boxs. There are 20 headphones in every Ryan's box.,There are 4 packages in Layla's collection. Each of Layla's packages holds 12 boxes. Ryan has 1/3 the amount of boxes as Layla. Ryan bought 6 more boxes. There are 20 headphones in every one of Ryan's boxes. How many headphones does Ryan have in their collection?,There are 4 packages in Layla's collection. Each of Layla's packages holds 12 boxes. Layla has 3 times as many boxes as Ryan. Ryan bought 6 more boxes. There are 20 headphones in every one of Ryan's boxes. How many headphones does Ryan have in their collection?,440
How many rolls of toilet papers does Sophia have in their collection?,Nicholas has 4 rolls of toilet papers. Sophia has 5 times as many rolls of toilet papers as Nicholas.,Nicholas has 4 rolls of toilet papers. Nicholas has 1/5 the amount of rolls of toilet papers as Sophia.,Nicholas has 4 rolls of toilet paper. Sophia has 5 times as many rolls of toilet paper as Nicholas. How many rolls of toilet paper does Sophia have in her collection?,Nicholas has 4 rolls of toilet paper. Nicholas has 1/5 the number of rolls of toilet paper as Sophia. How many rolls of toilet paper does Sophia have in her collection?,20
What is the number of green spoons that Christian has now?,Sofia has 16 green spoons.  Christian has 1/8 the amount of green spoons compared to the amount Sofia has. Christian bought 16 green spoons.,Sofia has 16 green spoons.  Sofia has 8 times the amount of green spoons compared to the amount Christian has. Christian bought 16 green spoons.,Sofia has 16 green spoons. Christian has 1/8 of the amount of green spoons that Sofia has. Christian bought 16 green spoons. What is the number of green spoons that Christian has now?,Sofia has 16 green spoons. Sofia has 8 times the number of green spoons that Christian has. Christian bought 16 green spoons. What is the number of green spoons that Christian has now?,18
How many liters of milk does Nathan have now?,Christian has 19 liters of milk. Nathan has 19 liters of milk less than Christian. Nathan bought 18 liters more milk. Nathan bought 2 liters more milk.,Christian has 19 liters of milk. Christian has 19 liters of milk more than Nathan. Nathan bought 18 liters more milk. Nathan bought 2 liters more milk.,Christian has 19 liters of milk. Nathan has 19 liters less milk than Christian. Nathan bought 18 liters more milk. Nathan bought 2 liters more milk. How many liters of milk does Nathan have now?,Christian has 19 liters of milk. Christian has 19 liters more milk than Nathan. Nathan bought 18 liters more milk. Nathan bought 2 liters more milk. How many liters of milk does Nathan have now?,20
How many baskets does Mila have totaled now?,There are 8 boxs in Sofia's collection. There are 6 baskets in every Sofia's box. Every basket that Sofia has contains 2 televisions. Mila has 1/16 the amount of baskets as Sofia. Mila bought 12 baskets.,There are 8 boxs in Sofia's collection. There are 6 baskets in every Sofia's box. Every basket that Sofia has contains 2 televisions. Sofia has 16 times as many baskets as Mila. Mila bought 12 baskets.,There are 8 boxes in Sofia's collection. There are 6 baskets in every box of Sofia's. Every basket that Sofia has contains 2 televisions. Mila has 1/16 of the amount of baskets as Sofia. Mila bought 12 baskets. How many baskets does Mila have in total now?,There are 8 boxes in Sofia's collection. There are 6 baskets in every box of Sofia's. Every basket that Sofia has contains 2 televisions. Sofia has 16 times as many baskets as Mila. Mila bought 12 baskets. How many baskets does Mila have in total now?,15
How many blenders does John have in all now?,Victoria has 12 boxs. Each of Victoria's box holds 9 packages. Each of Victoria's package has 8 blenders. John has 1/18 the amount of blenders as Victoria. John bought 7 blenders.,Victoria has 12 boxs. Each of Victoria's box holds 9 packages. Each of Victoria's package has 8 blenders. Victoria has 18 times as many blenders as John. John bought 7 blenders.,Victoria has 12 boxes. Each of Victoria's boxes holds 9 packages. Each of Victoria's packages has 8 blenders. John has 1/18 the amount of blenders as Victoria. John bought 7 blenders. How many blenders does John have in all now?,Victoria has 12 boxes. Each of Victoria's boxes holds 9 packages. Each of Victoria's packages has 8 blenders. Victoria has 18 times as many blenders as John. John bought 7 blenders. How many blenders does John have in all now?,55
How many wallets does Grace have now?,Scarlett owns 17 backpacks. Each of Scarlett's backpack holds 3 wallets. Grace has 16 more wallets than Scarlett. Grace bought 15 more wallets.,Scarlett owns 17 backpacks. Each of Scarlett's backpack holds 3 wallets. Scarlett has 16 fewer wallets than Grace. Grace bought 15 more wallets.,Scarlett owns 17 backpacks. Each of Scarlett's backpacks holds 3 wallets. Grace has 16 more wallets than Scarlett. Grace bought 15 more wallets. How many wallets does Grace have now?,Scarlett owns 17 backpacks. Each of Scarlett's backpacks holds 3 wallets. Scarlett has 16 fewer wallets than Grace. Grace bought 15 more wallets. How many wallets does Grace have now?,82
What is the number of red desks that Natalie has now?,Andrew has 16 orange suitcases. Natalie has 20 more orange suitcases than Andrew. Natalie possesses 3 red desk for every orange suitcase. Natalie bought 2 red desks.,Andrew has 16 orange suitcases. Andrew has 20 fewer orange suitcases than Natalie. Natalie possesses 3 red desk for every orange suitcase. Natalie bought 2 red desks.,Andrew has 16 orange suitcases. Natalie has 20 more orange suitcases than Andrew. Natalie possesses 3 red desks for every orange suitcase. Natalie bought 2 red desks. What is the number of red desks that Natalie has now?,Andrew has 16 orange suitcases. Andrew has 20 fewer orange suitcases than Natalie. Natalie possesses 3 red desks for every orange suitcase. Natalie bought 2 red desks. What is the number of red desks that Natalie has now?,110
What is the number of red wallets that Amelia has?,Mason has 20 large bags. Mason possesses 14 small box for every large bag. Mason possesses 3 red wallet for every small box. Amelia has 6 fewer red wallets than Mason.,Mason has 20 large bags. Mason possesses 14 small box for every large bag. Mason possesses 3 red wallet for every small box. Mason has 6 more red wallets than Amelia.,Mason has 20 large bags. Mason possesses 14 small boxes for every large bag. Mason possesses 3 red wallets for every small box. Amelia has 6 fewer red wallets than Mason. What is the number of red wallets that Amelia has?,Mason has 20 large bags. Mason possesses 14 small boxes for every large bag. Mason possesses 3 red wallets for every small box. Mason has 6 more red wallets than Amelia. What is the number of red wallets that Amelia has?,834
How many desks does Elijah have in their collection?,There are 9 boxs in Ryan's collection. Each of Ryan's box holds 15 packages. Each of Ryan's package holds 2 washing machines. Elijah has 1/9 the amount of boxs as Ryan. Each of Elijah's box has 19 desks.,There are 9 boxs in Ryan's collection. Each of Ryan's box holds 15 packages. Each of Ryan's package holds 2 washing machines. Ryan has 9 times as many boxs as Elijah. Each of Elijah's box has 19 desks.,There are 9 boxes in Ryan's collection. Each of Ryan's boxes holds 15 packages. Each of Ryan's packages holds 2 washing machines. Elijah has 1/9 the number of boxes as Ryan. Each of Elijah's boxes has 19 desks. How many desks does Elijah have in their collection?,There are 9 boxes in Ryan's collection. Each of Ryan's boxes holds 15 packages. Each of Ryan's packages holds 2 washing machines. Ryan has 9 times as many boxes as Elijah. Each of Elijah's boxes has 19 desks. How many desks does Elijah have in their collection?,19
How many grams of butter does Jacob have?,Ryan owns 10 packages. Every package that Ryan has contains 4 suitcases. Ryan possesses 17 gallons of oil per suitcase. Jacob has 10 more suitcases than Ryan. Jacob bought 16 more suitcases. Jacob possesses 14 grams of butter per suitcase.,Ryan owns 10 packages. Every package that Ryan has contains 4 suitcases. Ryan possesses 17 gallons of oil per suitcase. Ryan has 10 fewer suitcases than Jacob. Jacob bought 16 more suitcases. Jacob possesses 14 grams of butter per suitcase.,Ryan owns 10 packages. Each package that Ryan has contains 4 suitcases. Ryan possesses 17 gallons of oil per suitcase. Jacob has 10 more suitcases than Ryan. Jacob bought 16 more suitcases. Jacob possesses 14 grams of butter per suitcase. How many grams of butter does Jacob have?,Ryan owns 10 packages. Each package that Ryan has contains 4 suitcases. Ryan possesses 17 gallons of oil per suitcase. Ryan has 10 fewer suitcases than Jacob. Jacob bought 16 more suitcases. Jacob possesses 14 grams of butter per suitcase. How many grams of butter does Jacob have?,924
What is the number of green cups that Christian has now?,Ava has 12 green cups. Ava bought 2 green cups.  Christian has 8 times the amount of green cups compared to the amount Ava has. Christian bought 3 green cups.,Ava has 12 green cups. Ava bought 2 green cups.  Ava has 1/8 the amount of green cups compared to the amount Christian has. Christian bought 3 green cups.,Ava has 12 green cups. Ava bought 2 more green cups. Christian has 8 times the number of green cups that Ava has. Christian bought 3 more green cups. What is the total number of green cups that Christian has now?,Ava has 12 green cups. Ava bought 2 more green cups. Ava has 1/8 the number of green cups that Christian has. Christian bought 3 more green cups. What is the total number of green cups that Christian has now?,115
How many packages does Alexander have in all now?,There are 10 packages in Grace's collection. Each of Grace's package holds 13 televisions. Alexander has 1/2 the amount of packages as Grace. Alexander bought 20 packages.,There are 10 packages in Grace's collection. Each of Grace's package holds 13 televisions. Grace has 2 times as many packages as Alexander. Alexander bought 20 packages.,There are 10 packages in Grace's collection. Each of Grace's packages holds 13 televisions. Alexander has half the number of packages as Grace. Alexander bought 20 packages. How many packages does Alexander have in total now?,There are 10 packages in Grace's collection. Each of Grace's packages holds 13 televisions. Grace has 2 times as many packages as Alexander. Alexander bought 20 packages. How many packages does Alexander have in total now?,25
How many trash cans does Evelyn have in total?,Elijah has 16 baskets. Evelyn has 3 times as many baskets as Elijah. Evelyn bought 12 baskets. Each of Evelyn's basket holds 4 trash cans.,Elijah has 16 baskets. Elijah has 1/3 the amount of baskets as Evelyn. Evelyn bought 12 baskets. Each of Evelyn's basket holds 4 trash cans.,Elijah has 16 baskets. Evelyn has 3 times as many baskets as Elijah. Evelyn bought 12 baskets. Each of Evelyn's baskets holds 4 trash cans. How many trash cans does Evelyn have in total?,Elijah has 16 baskets. Elijah has 1/3 of the amount of baskets as Evelyn. Evelyn bought 12 baskets. Each of Evelyn's baskets holds 4 trash cans. How many trash cans does Evelyn have in total?,240
How many kilowatt-hours of emergency energy reserve does Lily have now?,Harper owns 6 suitcases. Harper possesses 13 kilograms of gold per suitcase. Harper bought 19 kilograms more gold. Lily has 1/6 the amount of suitcases as Harper. Lily possesses 18 kilowatt-hours of emergency energy reserve per suitcase. Lily bought 11 kilowatt-hours more emergency energy reserve.,Harper owns 6 suitcases. Harper possesses 13 kilograms of gold per suitcase. Harper bought 19 kilograms more gold. Harper has 6 times as many suitcases as Lily. Lily possesses 18 kilowatt-hours of emergency energy reserve per suitcase. Lily bought 11 kilowatt-hours more emergency energy reserve.,Harper owns 6 suitcases. Harper possesses 13 kilograms of gold per suitcase. Harper bought 19 kilograms more gold. Lily has 1/6 of the number of suitcases as Harper. Lily possesses 18 kilowatt-hours of emergency energy reserve per suitcase. Lily bought 11 kilowatt-hours more emergency energy reserve. How many kilowatt-hours of emergency energy reserve does Lily have now?,Harper owns 6 suitcases. Harper possesses 13 kilograms of gold per suitcase. Harper bought 19 kilograms more gold. Harper has 6 times as many suitcases as Lily. Lily possesses 18 kilowatt-hours of emergency energy reserve per suitcase. Lily bought 11 kilowatt-hours more emergency energy reserve. How many kilowatt-hours of emergency energy reserve does Lily have now?,29
How many headphones does Evelyn have?,Avery owns 2 bags. Each of Avery's bag has 8 hairdryers. Evelyn has 12 times as many bags as Avery. There are 18 headphones in every Evelyn's bag.,Avery owns 2 bags. Each of Avery's bag has 8 hairdryers. Avery has 1/12 the amount of bags as Evelyn. There are 18 headphones in every Evelyn's bag.,Avery owns 2 bags. Each of Avery's bags has 8 hairdryers. Evelyn has 12 times as many bags as Avery. There are 18 headphones in each of Evelyn's bags. How many headphones does Evelyn have?,Avery owns 2 bags. Each of Avery's bags has 8 hairdryers. Avery has 1/12 the number of bags as Evelyn. There are 18 headphones in each of Evelyn's bags. How many headphones does Evelyn have?,432
How many mugs does Lily have in all?,There are 14 mugs in Charlotte's collection. Lily has 18 more mugs than Charlotte.,There are 14 mugs in Charlotte's collection. Charlotte has 18 fewer mugs than Lily.,There are 14 mugs in Charlotte's collection. Lily has 18 more mugs than Charlotte. How many mugs does Lily have in total?,There are 14 mugs in Charlotte's collection. Charlotte has 18 fewer mugs than Lily. How many mugs does Lily have in total?,32
How many spoons does Lucy have in their collection?,Samuel has 2 boxs. Each of Samuel's box holds 12 packages. Each of Samuel's package has 9 suitcases. Lucy has 6 fewer suitcases than Samuel. There are 4 spoons in every Lucy's suitcase.,Samuel has 2 boxs. Each of Samuel's box holds 12 packages. Each of Samuel's package has 9 suitcases. Samuel has 6 more suitcases than Lucy. There are 4 spoons in every Lucy's suitcase.,Samuel has 2 boxes. Each of Samuel's boxes holds 12 packages. Each of Samuel's packages has 9 suitcases. Lucy has 6 fewer suitcases than Samuel. There are 4 spoons in every one of Lucy's suitcases. How many spoons does Lucy have in her collection?,Samuel has 2 boxes. Each of Samuel's boxes holds 12 packages. Each of Samuel's packages has 9 suitcases. Samuel has 6 more suitcases than Lucy. There are 4 spoons in every one of Lucy's suitcases. How many spoons does Lucy have in her collection?,840
What is the number of green washing machines that Olivia has?,Jonathan has 9 blue suitcases. Jonathan possesses 3 small table for every blue suitcase. Jonathan bought 12 small tables. Olivia has 4 fewer blue suitcases than Jonathan. Olivia possesses 9 green washing machine for every blue suitcase.,Jonathan has 9 blue suitcases. Jonathan possesses 3 small table for every blue suitcase. Jonathan bought 12 small tables. Jonathan has 4 more blue suitcases than Olivia. Olivia possesses 9 green washing machine for every blue suitcase.,Jonathan has 9 blue suitcases. Jonathan possesses 3 small tables for every blue suitcase. Jonathan bought 12 small tables. Olivia has 4 fewer blue suitcases than Jonathan. Olivia possesses 9 green washing machines for every blue suitcase. What is the number of green washing machines that Olivia has?,Jonathan has 9 blue suitcases. Jonathan possesses 3 small tables for every blue suitcase. Jonathan bought 12 small tables. Jonathan has 4 more blue suitcases than Olivia. Olivia possesses 9 green washing machines for every blue suitcase. What is the number of green washing machines that Olivia has?,45
How many soaps does William have in all?,Emma owns 12 soaps. Emma bought 8 soaps. Emma bought 12 soaps. William has 19 fewer soaps than Emma.,Emma owns 12 soaps. Emma bought 8 soaps. Emma bought 12 soaps. Emma has 19 more soaps than William.,Emma owns 12 soaps. Emma bought 8 more soaps. Emma bought 12 additional soaps. William has 19 fewer soaps than Emma. How many soaps does William have in total?,Emma owns 12 soaps. Emma bought 8 more soaps. Emma bought 12 additional soaps. Emma has 19 more soaps than William. How many soaps does William have in total?,13
How many dollars of bitcoin does William have?,Logan has 17 dollars of bitcoin. Logan bought 6 dollars more bitcoin. Logan bought 7 dollars more bitcoin. William has 6 times as much bitcoin in dollars as Logan does.,Logan has 17 dollars of bitcoin. Logan bought 6 dollars more bitcoin. Logan bought 7 dollars more bitcoin. Logan has 1/6 as much bitcoin in dollars as William does.,Logan has 17 dollars of bitcoin. Logan bought 6 more dollars of bitcoin. Logan bought 7 more dollars of bitcoin. William has 6 times as much bitcoin in dollars as Logan does. How many dollars of bitcoin does William have?,Logan has 17 dollars of bitcoin. Logan bought 6 more dollars of bitcoin. Logan bought 7 more dollars of bitcoin. Logan has 1/6 as much bitcoin in dollars as William does. How many dollars of bitcoin does William have?,180
What is the number of orange boxs that Christian has?,Logan has 18 large bags. Logan possesses 3 orange box for every large bag. Logan possesses 12 yellow mouse for every orange box. Christian has 9 more orange boxs than Logan.,Logan has 18 large bags. Logan possesses 3 orange box for every large bag. Logan possesses 12 yellow mouse for every orange box. Logan has 9 fewer orange boxs than Christian.,Logan has 18 large bags. Logan possesses 3 orange boxes for every large bag. Logan possesses 12 yellow mice for every orange box. Christian has 9 more orange boxes than Logan. What is the number of orange boxes that Christian has?,Logan has 18 large bags. Logan possesses 3 orange boxes for every large bag. Logan possesses 12 yellow mice for every orange box. Logan has 9 fewer orange boxes than Christian. What is the number of orange boxes that Christian has?,63
