question comparison,question transition,body comparison,body transition,paraphrase comparison,paraphrase transition,answer
How many dollars of bitcoin does Lily have?,How many dollars of bitcoin does John have now?,John has 15 dollars of bitcoin. Lily has 4 dollars of bitcoin less than John.,John has 15 dollars of bitcoin. John gave Lily 4 dollars of bitcoin.,John has 15 dollars of bitcoin. Lily has 4 dollars less of bitcoin than John. How many dollars of bitcoin does Lily have?,John has 15 dollars of bitcoin. John gave Lily 4 dollars of bitcoin. How many dollars of bitcoin does John have now?,11
How many phones does Natalie have in their collection?,How many phones does Nathan have totaled now?,Nathan has 16 phones. Natalie has 5 fewer phones than Nathan.,Nathan has 16 phones. Nathan gave Natalie 5 phones.,Nathan has 16 phones. Natalie has 5 fewer phones than Nathan. How many phones does Natalie have in her collection?,Nathan has 16 phones. Nathan gave Natalie 5 phones. How many phones does Nathan have in total now?,11
How many kilowatt-hours of emergency energy reserve does Mason have?,How many kilowatt-hours of emergency energy reserve does Harper have now?,Harper has 12 kilowatt-hours of emergency energy reserve. Harper has 16 kilowatt-hours of emergency energy reserve less than Victoria. Victoria has 3 kilowatt-hours of emergency energy reserve less than Ava. Ava has 17 kilowatt-hours of emergency energy reserve less than Natalie. Natalie has 4 kilowatt-hours of emergency energy reserve more than Christian. Christian has 19 kilowatt-hours of emergency energy reserve more than Mason.,Harper has 12 kilowatt-hours of emergency energy reserve. Victoria gave Harper 16 kilowatt-hours of emergency energy reserve. Ava gave Harper 3 kilowatt-hours of emergency energy reserve. Natalie gave Harper 17 kilowatt-hours of emergency energy reserve. Harper gave Christian 4 kilowatt-hours of emergency energy reserve. Harper gave Mason 19 kilowatt-hours of emergency energy reserve.,Harper has 12 kilowatt-hours of emergency energy reserve. Harper has 16 kilowatt-hours less of emergency energy reserve than Victoria. Victoria has 3 kilowatt-hours less of emergency energy reserve than Ava. Ava has 17 kilowatt-hours less of emergency energy reserve than Natalie. Natalie has 4 kilowatt-hours more of emergency energy reserve than Christian. Christian has 19 kilowatt-hours more of emergency energy reserve than Mason. How many kilowatt-hours of emergency energy reserve does Mason have?,Harper has 12 kilowatt-hours of emergency energy reserve. Victoria gave Harper 16 kilowatt-hours of emergency energy reserve. Ava gave Harper 3 kilowatt-hours of emergency energy reserve. Natalie gave Harper 17 kilowatt-hours of emergency energy reserve. Harper gave Christian 4 kilowatt-hours of emergency energy reserve. Harper gave Mason 19 kilowatt-hours of emergency energy reserve. How many kilowatt-hours of emergency energy reserve does Harper have now?,25
How many liters of milk does Mila have?,How many liters of milk does Mia have now?,Mia has 6 liters of milk. Chloe has 4 liters of milk more than Mia. Mila has 12 liters of milk more than Chloe.,Mia has 6 liters of milk. Chloe gave Mia 4 liters of milk. Mila gave Mia 12 liters of milk.,Mia has 6 liters of milk. Chloe has 4 liters more milk than Mia. Mila has 12 liters more milk than Chloe. How many liters of milk does Mila have?,Mia has 6 liters of milk. Chloe gave Mia 4 liters of milk. Mila gave Mia 12 liters of milk. How many liters of milk does Mia have now?,22
How many liters of milk does David have?,How many liters of milk does Ella have now?,Ella has 8 liters of milk. Scarlett has 11 liters of milk more than Ella. Ryan has 15 liters of milk more than Scarlett. Sofia has 4 liters of milk less than Ryan. Layla has 5 liters of milk more than Sofia. David has 14 liters of milk less than Layla.,Ella has 8 liters of milk. Scarlett gave Ella 11 liters of milk. Ryan gave Ella 15 liters of milk. Ella gave Sofia 4 liters of milk. Layla gave Ella 5 liters of milk. Ella gave David 14 liters of milk.,Ella has 8 liters of milk. Scarlett has 11 liters more milk than Ella. Ryan has 15 liters more milk than Scarlett. Sofia has 4 liters less milk than Ryan. Layla has 5 liters more milk than Sofia. David has 14 liters less milk than Layla. How many liters of milk does David have?,Ella has 8 liters of milk. Scarlett gave Ella 11 liters of milk. Ryan gave Ella 15 liters of milk. Ella gave Sofia 4 liters of milk. Layla gave Ella 5 liters of milk. Ella gave David 14 liters of milk. How many liters of milk does Ella have now?,21
How many soaps does Henry have?,How many soaps does Elizabeth have now?,Elizabeth has 20 soaps. Victoria has 9 fewer soaps than Elizabeth. Alexander has 20 more soaps than Victoria. Henry has 18 fewer soaps than Alexander.,Elizabeth has 20 soaps. Elizabeth gave 9 soaps to Victoria. Alexander gave 20 soaps to Elizabeth. Elizabeth gave 18 soaps to Henry.,Elizabeth has 20 soaps. Victoria has 9 fewer soaps than Elizabeth. Alexander has 20 more soaps than Victoria. Henry has 18 fewer soaps than Alexander. How many soaps does Henry have?,Elizabeth has 20 soaps. Elizabeth gave 9 soaps to Victoria. Alexander gave 20 soaps to Elizabeth. Elizabeth gave 18 soaps to Henry. How many soaps does Elizabeth have now?,13
How many meters of rope does Abigail have?,How many meters of rope does Samuel have now?,Samuel has 9 meters of rope. Christopher has 12 meters of rope more than Samuel. Abigail has 9 meters of rope more than Christopher.,Samuel has 9 meters of rope. Christopher gave Samuel 12 meters of rope. Abigail gave Samuel 9 meters of rope.,Samuel has 9 meters of rope. Christopher has 12 meters more rope than Samuel. Abigail has 9 meters more rope than Christopher. How many meters of rope does Abigail have?,Samuel has 9 meters of rope. Christopher gave Samuel 12 meters of rope. Abigail gave Samuel 9 meters of rope. How many meters of rope does Samuel have now?,30
How many grams of butter does Michael have?,How many grams of butter does Jackson have now?,Jackson has 18 grams of butter. Jackson has 14 grams of butter more than Abigail. Joseph has 2 grams of butter less than Abigail. James has 16 grams of butter more than Joseph. James has 10 grams of butter less than Michael.,Jackson has 18 grams of butter. Jackson gave Abigail 14 grams of butter. Jackson gave Joseph 2 grams of butter. James gave Jackson 16 grams of butter. Michael gave Jackson 10 grams of butter.,Jackson has 18 grams of butter. Jackson has 14 grams more butter than Abigail. Joseph has 2 grams less butter than Abigail. James has 16 grams more butter than Joseph. James has 10 grams less butter than Michael. How many grams of butter does Michael have?,Jackson has 18 grams of butter. Jackson gave Abigail 14 grams of butter. Jackson gave Joseph 2 grams of butter. James gave Jackson 16 grams of butter. Michael gave Jackson 10 grams of butter. How many grams of butter does Jackson have now?,28
How many meters of rope does Abigail have?,How many meters of rope does Natalie have now?,Natalie has 13 meters of rope. Christopher has 5 meters of rope more than Natalie. Joseph has 3 meters of rope more than Christopher. Abigail has 8 meters of rope less than Joseph.,Natalie has 13 meters of rope. Christopher gave Natalie 5 meters of rope. Joseph gave Natalie 3 meters of rope. Natalie gave Abigail 8 meters of rope.,Natalie has 13 meters of rope. Christopher has 5 meters more rope than Natalie. Joseph has 3 meters more rope than Christopher. Abigail has 8 meters less rope than Joseph. How many meters of rope does Abigail have?,Natalie has 13 meters of rope. Christopher gave Natalie 5 meters of rope. Joseph gave Natalie 3 meters of rope. Natalie gave Abigail 8 meters of rope. How many meters of rope does Natalie have now?,13
What is the number of large clocks that Victoria has?,What is the number of large clocks that Jonathan has now?,Jonathan has 18 large clocks. Jonathan has 7 fewer large clocks than Victoria.,Jonathan has 18 large clocks. Victoria gave Jonathan 7 large clocks.,Jonathan has 18 large clocks. Jonathan has 7 fewer large clocks than Victoria. What is the number of large clocks that Victoria has?,Jonathan has 18 large clocks. Victoria gave Jonathan 7 large clocks. What is the number of large clocks that Jonathan has now?,25
What is the number of orange wallets that Ava has?,What is the number of orange wallets that Nathan has now?,Nathan has 2 orange wallets. Nathan has 17 fewer orange wallets than Avery. Avery has 3 more orange wallets than Victoria. Sophia has 16 more orange wallets than Victoria. Emma has 15 fewer orange wallets than Sophia. Emma has 15 more orange wallets than Ava.,Nathan has 2 orange wallets. Avery gave Nathan 17 orange wallets. Nathan gave Victoria 3 orange wallets. Sophia gave Nathan 16 orange wallets. Nathan gave Emma 15 orange wallets. Nathan gave Ava 15 orange wallets.,Nathan has 2 orange wallets. Nathan has 17 fewer orange wallets than Avery. Avery has 3 more orange wallets than Victoria. Sophia has 16 more orange wallets than Victoria. Emma has 15 fewer orange wallets than Sophia. Emma has 15 more orange wallets than Ava. What is the number of orange wallets that Ava has?,Nathan has 2 orange wallets. Avery gave Nathan 17 orange wallets. Nathan gave Victoria 3 orange wallets. Sophia gave Nathan 16 orange wallets. Nathan gave Emma 15 orange wallets. Nathan gave Ava 15 orange wallets. What is the number of orange wallets that Nathan has now?,2
How many gigabytes of training data does Chloe have?,How many gigabytes of training data does Logan have now?,Logan has 4 gigabytes of training data. Logan has 7 gigabytes of training data less than Chloe.,Logan has 4 gigabytes of training data. Chloe gave Logan 7 gigabytes of training data.,Logan has 4 gigabytes of training data. Logan has 7 gigabytes less training data than Chloe. How many gigabytes of training data does Chloe have?,Logan has 4 gigabytes of training data. Chloe gave Logan 7 gigabytes of training data. How many gigabytes of training data does Logan have now?,11
How many grams of butter does Christian have?,How many grams of butter does Mason have now?,Mason has 14 grams of butter. Mason has 3 grams of butter less than Amelia. Christopher has 6 grams of butter less than Amelia. Christopher has 11 grams of butter less than Scarlett. Joseph has 7 grams of butter less than Scarlett. Christian has 12 grams of butter less than Joseph.,Mason has 14 grams of butter. Amelia gave Mason 3 grams of butter. Mason gave Christopher 6 grams of butter. Scarlett gave Mason 11 grams of butter. Mason gave Joseph 7 grams of butter. Mason gave Christian 12 grams of butter.,Mason has 14 grams of butter. Mason has 3 grams less butter than Amelia. Christopher has 6 grams less butter than Amelia. Christopher has 11 grams less butter than Scarlett. Joseph has 7 grams less butter than Scarlett. Christian has 12 grams less butter than Joseph. How many grams of butter does Christian have?,Mason has 14 grams of butter. Amelia gave Mason 3 grams of butter. Mason gave Christopher 6 grams of butter. Scarlett gave Mason 11 grams of butter. Mason gave Joseph 7 grams of butter. Mason gave Christian 12 grams of butter. How many grams of butter does Mason have now?,3
How many gigabytes of training data does Mia have?,How many gigabytes of training data does Henry have now?,Henry has 18 gigabytes of training data. Henry has 12 gigabytes of training data less than James. Olivia has 6 gigabytes of training data less than James. Olivia has 12 gigabytes of training data more than Elizabeth. Elizabeth has 3 gigabytes of training data more than Christian. Christian has 2 gigabytes of training data more than Mia.,Henry has 18 gigabytes of training data. James gave Henry 12 gigabytes of training data. Henry gave Olivia 6 gigabytes of training data. Henry gave Elizabeth 12 gigabytes of training data. Henry gave Christian 3 gigabytes of training data. Henry gave Mia 2 gigabytes of training data.,Henry has 18 gigabytes of training data. Henry has 12 gigabytes less training data than James. Olivia has 6 gigabytes less training data than James. Olivia has 12 gigabytes more training data than Elizabeth. Elizabeth has 3 gigabytes more training data than Christian. Christian has 2 gigabytes more training data than Mia. How many gigabytes of training data does Mia have?,Henry has 18 gigabytes of training data. James gave Henry 12 gigabytes of training data. Henry gave Olivia 6 gigabytes of training data. Henry gave Elizabeth 12 gigabytes of training data. Henry gave Christian 3 gigabytes of training data. Henry gave Mia 2 gigabytes of training data. How many gigabytes of training data does Henry have now?,7
How many acres of farmland does Joshua have?,How many acres of farmland does Grace have now?,Grace has 19 acres of farmland. Grace has 3 acres of farmland more than Alexander. Mila has 2 acres of farmland less than Alexander. Mila has 10 acres of farmland more than Avery. Avery has 13 acres of farmland less than Michael. Michael has 2 acres of farmland more than Joshua.,Grace has 19 acres of farmland. Grace gave Alexander 3 acres of farmland. Grace gave Mila 2 acres of farmland. Grace gave Avery 10 acres of farmland. Michael gave Grace 13 acres of farmland. Grace gave Joshua 2 acres of farmland.,Grace has 19 acres of farmland. Grace has 3 acres more farmland than Alexander. Mila has 2 acres less farmland than Alexander. Mila has 10 acres more farmland than Avery. Avery has 13 acres less farmland than Michael. Michael has 2 acres more farmland than Joshua. How many acres of farmland does Joshua have?,Grace has 19 acres of farmland. Grace gave Alexander 3 acres of farmland. Grace gave Mila 2 acres of farmland. Grace gave Avery 10 acres of farmland. Michael gave Grace 13 acres of farmland. Grace gave Joshua 2 acres of farmland. How many acres of farmland does Grace have now?,15
How many liters of milk does Christopher have?,How many liters of milk does Matthew have now?,Matthew has 4 liters of milk. Matthew has 13 liters of milk less than Christopher.,Matthew has 4 liters of milk. Christopher gave Matthew 13 liters of milk.,Matthew has 4 liters of milk. Matthew has 13 liters less milk than Christopher. How many liters of milk does Christopher have?,Matthew has 4 liters of milk. Christopher gave Matthew 13 liters of milk. How many liters of milk does Matthew have now?,17
How many liters of milk does Lucy have?,How many liters of milk does Evelyn have now?,Evelyn has 18 liters of milk. Evelyn has 10 liters of milk more than Benjamin. James has 19 liters of milk more than Benjamin. Charlotte has 8 liters of milk more than James. Lucy has 18 liters of milk more than Charlotte.,Evelyn has 18 liters of milk. Evelyn gave Benjamin 10 liters of milk. James gave Evelyn 19 liters of milk. Charlotte gave Evelyn 8 liters of milk. Lucy gave Evelyn 18 liters of milk.,Evelyn has 18 liters of milk. Evelyn has 10 liters more milk than Benjamin. James has 19 liters more milk than Benjamin. Charlotte has 8 liters more milk than James. Lucy has 18 liters more milk than Charlotte. How many liters of milk does Lucy have?,Evelyn has 18 liters of milk. Evelyn gave Benjamin 10 liters of milk. James gave Evelyn 19 liters of milk. Charlotte gave Evelyn 8 liters of milk. Lucy gave Evelyn 18 liters of milk. How many liters of milk does Evelyn have now?,53
What is the number of yellow ovens that Liam has?,What is the number of yellow ovens that Nathan has now?,Nathan has 20 yellow ovens. Elijah has 10 fewer yellow ovens than Nathan. Abigail has 19 more yellow ovens than Elijah. Abigail has 18 fewer yellow ovens than Liam.,Nathan has 20 yellow ovens. Nathan gave Elijah 10 yellow ovens. Abigail gave Nathan 19 yellow ovens. Liam gave Nathan 18 yellow ovens.,Nathan has 20 yellow ovens. Elijah has 10 fewer yellow ovens than Nathan. Abigail has 19 more yellow ovens than Elijah. Abigail has 18 fewer yellow ovens than Liam. What is the number of yellow ovens that Liam has?,Nathan has 20 yellow ovens. Nathan gave Elijah 10 yellow ovens. Abigail gave Nathan 19 yellow ovens. Liam gave Nathan 18 yellow ovens. What is the number of yellow ovens that Nathan has now?,47
How many grams of butter does Harper have?,How many grams of butter does Avery have now?,Avery has 6 grams of butter. Christian has 11 grams of butter more than Avery. Christian has 3 grams of butter more than Hannah. Hannah has 20 grams of butter less than Harper.,Avery has 6 grams of butter. Christian gave Avery 11 grams of butter. Avery gave Hannah 3 grams of butter. Harper gave Avery 20 grams of butter.,Avery has 6 grams of butter. Christian has 11 grams more butter than Avery. Christian has 3 grams more butter than Hannah. Hannah has 20 grams less butter than Harper. How many grams of butter does Harper have?,Avery has 6 grams of butter. Christian gave Avery 11 grams of butter. Avery gave Hannah 3 grams of butter. Harper gave Avery 20 grams of butter. How many grams of butter does Avery have now?,34
How many acres of farmland does Harper have?,How many acres of farmland does Henry have now?,Henry has 5 acres of farmland. Joseph has 7 acres of farmland more than Henry. Nicholas has 4 acres of farmland less than Joseph. Nicholas has 3 acres of farmland less than Grace. Harper has 8 acres of farmland less than Grace.,Henry has 5 acres of farmland. Joseph gave Henry 7 acres of farmland. Henry gave Nicholas 4 acres of farmland. Grace gave Henry 3 acres of farmland. Henry gave Harper 8 acres of farmland.,Henry has 5 acres of farmland. Joseph has 7 more acres of farmland than Henry. Nicholas has 4 fewer acres of farmland than Joseph. Nicholas has 3 fewer acres of farmland than Grace. Harper has 8 fewer acres of farmland than Grace. How many acres of farmland does Harper have?,Henry has 5 acres of farmland. Joseph gave Henry 7 acres of farmland. Henry gave Nicholas 4 acres of farmland. Grace gave Henry 3 acres of farmland. Henry gave Harper 8 acres of farmland. How many acres of farmland does Henry have now?,3
How many kilograms of gold does Grace have?,How many kilograms of gold does Sofia have now?,Sofia has 17 kilograms of gold. Grace has 2 kilograms of gold less than Sofia.,Sofia has 17 kilograms of gold. Sofia gave Grace 2 kilograms of gold.,Sofia has 17 kilograms of gold. Grace has 2 kilograms less gold than Sofia. How many kilograms of gold does Grace have?,Sofia has 17 kilograms of gold. Sofia gave Grace 2 kilograms of gold. How many kilograms of gold does Sofia have now?,15
How many gigabytes of training data does Isabella have?,How many gigabytes of training data does Christopher have now?,Christopher has 8 gigabytes of training data. Christopher has 2 gigabytes of training data more than Christian. Matthew has 5 gigabytes of training data less than Christian. Isabella has 2 gigabytes of training data more than Matthew.,Christopher has 8 gigabytes of training data. Christopher gave Christian 2 gigabytes of training data. Christopher gave Matthew 5 gigabytes of training data. Isabella gave Christopher 2 gigabytes of training data.,Christopher has 8 gigabytes of training data. Christopher has 2 gigabytes more training data than Christian. Matthew has 5 gigabytes less training data than Christian. Isabella has 2 gigabytes more training data than Matthew. How many gigabytes of training data does Isabella have?,Christopher has 8 gigabytes of training data. Christopher gave Christian 2 gigabytes of training data. Christopher gave Matthew 5 gigabytes of training data. Isabella gave Christopher 2 gigabytes of training data. How many gigabytes of training data does Christopher have now?,3
How many lamps does Chloe have?,How many lamps does Christian have in total now?,Christian has 19 lamps. Samuel has 6 more lamps than Christian. Samuel has 18 fewer lamps than Harper. Harper has 11 fewer lamps than Hannah. Chloe has 4 fewer lamps than Hannah.,Christian has 19 lamps. Samuel gave Christian 6 lamps. Harper gave 18 lamps to Christian. Hannah gave Christian 11 lamps. Christian gave 4 lamps to Chloe.,Christian has 19 lamps. Samuel has 6 more lamps than Christian. Samuel has 18 fewer lamps than Harper. Harper has 11 fewer lamps than Hannah. Chloe has 4 fewer lamps than Hannah. How many lamps does Chloe have?,Christian has 19 lamps. Samuel gave Christian 6 lamps. Harper gave Christian 18 lamps. Hannah gave Christian 11 lamps. Christian gave 4 lamps to Chloe. How many lamps does Christian have in total now?,50
What is the number of small pots that Benjamin has?,What is the number of small pots that Emily has now?,Emily has 15 small pots. Emily has 15 fewer small pots than David. Amelia has 12 more small pots than David. Harper has 20 more small pots than Amelia. Harper has 8 fewer small pots than Benjamin.,Emily has 15 small pots. David gave Emily 15 small pots. Amelia gave Emily 12 small pots. Harper gave Emily 20 small pots. Benjamin gave Emily 8 small pots.,Emily has 15 small pots. Emily has 15 fewer small pots than David. Amelia has 12 more small pots than David. Harper has 20 more small pots than Amelia. Harper has 8 fewer small pots than Benjamin. What is the number of small pots that Benjamin has?,Emily has 15 small pots. David gave Emily 15 small pots. Amelia gave Emily 12 small pots. Harper gave Emily 20 small pots. Benjamin gave Emily 8 small pots. What is the total number of small pots that Emily has now?,70
What is the number of orange vacuum cleaners that Emma has?,What is the number of orange vacuum cleaners that Amelia has now?,Amelia has 11 orange vacuum cleaners. Amelia has 7 fewer orange vacuum cleaners than Joseph. Andrew has 8 fewer orange vacuum cleaners than Joseph. Emma has 14 more orange vacuum cleaners than Andrew.,Amelia has 11 orange vacuum cleaners. Joseph gave Amelia 7 orange vacuum cleaners. Amelia gave Andrew 8 orange vacuum cleaners. Emma gave Amelia 14 orange vacuum cleaners.,Amelia has 11 orange vacuum cleaners. Amelia has 7 fewer orange vacuum cleaners than Joseph. Andrew has 8 fewer orange vacuum cleaners than Joseph. Emma has 14 more orange vacuum cleaners than Andrew. What is the number of orange vacuum cleaners that Emma has?,Amelia has 11 orange vacuum cleaners. Joseph gave Amelia 7 orange vacuum cleaners. Amelia gave Andrew 8 orange vacuum cleaners. Emma gave Amelia 14 orange vacuum cleaners. What is the number of orange vacuum cleaners that Amelia has now?,24
How many meters of rope does Sophia have?,How many meters of rope does Emily have now?,Emily has 8 meters of rope. Emily has 3 meters of rope more than Daniel. Joshua has 10 meters of rope more than Daniel. Elijah has 20 meters of rope more than Joshua. Elijah has 20 meters of rope less than Scarlett. Sophia has 15 meters of rope less than Scarlett.,Emily has 8 meters of rope. Emily gave Daniel 3 meters of rope. Joshua gave Emily 10 meters of rope. Elijah gave Emily 20 meters of rope. Scarlett gave Emily 20 meters of rope. Emily gave Sophia 15 meters of rope.,Emily has 8 meters of rope. Emily has 3 meters more rope than Daniel. Joshua has 10 meters more rope than Daniel. Elijah has 20 meters more rope than Joshua. Elijah has 20 meters less rope than Scarlett. Sophia has 15 meters less rope than Scarlett. How many meters of rope does Sophia have?,Emily has 8 meters of rope. Emily gave Daniel 3 meters of rope. Joshua gave Emily 10 meters of rope. Elijah gave Emily 20 meters of rope. Scarlett gave Emily 20 meters of rope. Emily gave Sophia 15 meters of rope. How many meters of rope does Emily have now?,40
What is the number of red hairdryers that Grace has?,What is the number of red hairdryers that James has now?,James has 9 red hairdryers. Alexander has 7 more red hairdryers than James. Alexander has 8 fewer red hairdryers than Grace.,James has 9 red hairdryers. Alexander gave James 7 red hairdryers. Grace gave James 8 red hairdryers.,James has 9 red hairdryers. Alexander has 7 more red hairdryers than James. Alexander has 8 fewer red hairdryers than Grace. What is the number of red hairdryers that Grace has?,James has 9 red hairdryers. Alexander gave James 7 red hairdryers. Grace gave James 8 red hairdryers. What is the total number of red hairdryers that James has now?,24
How many grams of butter does Ella have?,How many grams of butter does Joshua have now?,Joshua has 15 grams of butter. David has 12 grams of butter more than Joshua. David has 3 grams of butter less than Emma. Emma has 9 grams of butter less than Joseph. Ryan has 6 grams of butter more than Joseph. Ella has 18 grams of butter less than Ryan.,Joshua has 15 grams of butter. David gave Joshua 12 grams of butter. Emma gave Joshua 3 grams of butter. Joseph gave Joshua 9 grams of butter. Ryan gave Joshua 6 grams of butter. Joshua gave Ella 18 grams of butter.,Joshua has 15 grams of butter. David has 12 grams more butter than Joshua. David has 3 grams less butter than Emma. Emma has 9 grams less butter than Joseph. Ryan has 6 grams more butter than Joseph. Ella has 18 grams less butter than Ryan. How many grams of butter does Ella have?,Joshua has 15 grams of butter. David gave Joshua 12 grams of butter. Emma gave Joshua 3 grams of butter. Joseph gave Joshua 9 grams of butter. Ryan gave Joshua 6 grams of butter. Joshua gave Ella 18 grams of butter. How many grams of butter does Joshua have now?,27
